OmiVoxel (v0.2.0) (400x600 px) (07/02/2020 12:51:53)
$Texturas (nombre,r1,g1,b1,a1,r2,g2,b2,a2,r3,g3,b3,a3)$
sombra,50,50,50,40,50,50,50,40,50,50,50,40
rojo,242,82,53,255,240,49,15,255,191,39,13,255
naranja,251,170,89,255,250,143,37,255,238,122,6,255
amarillo,240,237,94,255,236,232,53,255,211,207,20,255
verde,112,189,100,255,88,177,75,255,74,149,64,255
limon,82,239,78,255,33,234,28,255,22,199,18,255
negro,62,62,62,255,74,74,74,255,40,40,40,255
gris,126,126,126,255,110,110,110,255,148,148,148,255
blanco,211,211,211,255,229,229,229,255,188,188,188,255
cafe,116,90,63,255,89,70,49,255,136,106,74,255
caqui,208,185,130,255,193,163,89,255,170,138,64,255
azul,31,100,203,255,62,128,225,255,104,155,232,255
marino,53,53,236,255,22,22,233,255,90,90,239,255
agua,53,217,230,255,91,237,244,255,14,200,209,255
morado,202,43,198,255,174,36,171,255,216,65,211,255
rosa,248,152,192,255,245,126,177,255,243,90,155,255
halloween,243,136,39,255,58,33,33,255,67,46,24,255
navidad,62,168,67,255,168,220,58,255,239,65,39,255
mimo,191,191,191,255,168,168,168,255,51,51,51,255
payaso,245,114,16,255,43,91,219,255,50,238,23,255
leopardo,236,231,26,255,208,204,17,255,142,69,45,255
reptil,57,120,54,255,96,142,32,255,163,122,67,255
saurio,154,65,207,255,103,41,231,255,249,23,243,255
vidrio,153,251,245,100,190,252,249,100,115,249,242,100
malla,130,126,165,255,0,0,0,0,0,0,0,0
reja,108,85,79,255,121,114,85,255,0,0,0,0
hojas,77,141,61,255,153,199,107,100,131,248,114,50
$Voxels (x,y,z,r,g,b,a,grupo)$
0.0,0.0,30.0,255,255,255,255,0
0.0,0.0,29.423558412096913,255,255,255,255,0
11.480502970952696,2.8119122431957796e-15,27.716385975338603,255,255,255,255,0
10.165480533159643,5.335255757319043,27.716385975338603,255,255,255,255,0
6.521669012540522,9.448268717438257,27.716385975338603,255,255,255,255,0
1.383821715780013,11.396797178373813,27.716385975338603,255,255,255,255,0
-4.071042459206177,10.734456752038929,27.716385975338603,255,255,255,255,0
-8.593279868168349,7.612981648039498,27.716385975338603,255,255,255,255,0
-11.146900419581998,2.74746419484882,27.716385975338603,255,255,255,255,0
-11.146900419582,-2.7474641948488183,27.716385975338603,255,255,255,255,0
-8.593279868168343,-7.612981648039503,27.716385975338603,255,255,255,255,0
-4.071042459206172,-10.734456752038929,27.716385975338603,255,255,255,255,0
1.3838217157800081,-11.396797178373811,27.716385975338603,255,255,255,255,0
6.521669012540525,-9.448268717438253,27.716385975338603,255,255,255,255,0
10.165480533159641,-5.3352557573190476,27.716385975338603,255,255,255,255,0
11.480502970952696,2.8119122431957796e-15,27.716385975338603,255,255,255,255,0
16.667106990588067,4.08226384541403e-15,24.944088369076358,255,255,255,255,0
15.661957448904836,5.700486321745184,24.944088369076358,255,255,255,255,0
12.767744693009448,10.713409862869929,24.944088369076358,255,255,255,255,0
8.333553495294046,14.434138061442459,24.944088369076358,255,255,255,255,0
2.894212755895367,16.4138961846151,24.944088369076358,255,255,255,255,0
-2.894212755895372,16.41389618461509,24.944088369076358,255,255,255,255,0
-8.33355349529404,14.434138061442468,24.944088369076358,255,255,255,255,0
-12.767744693009462,10.713409862869913,24.944088369076358,255,255,255,255,0
-15.661957448904834,5.700486321745191,24.944088369076358,255,255,255,255,0
-16.667106990588067,1.2762232825166404e-14,24.944088369076358,255,255,255,255,0
-15.661957448904836,-5.700486321745182,24.944088369076358,255,255,255,255,0
-12.767744693009444,-10.713409862869932,24.944088369076358,255,255,255,255,0
-8.333553495294046,-14.434138061442464,24.944088369076358,255,255,255,255,0
-2.8942127558953654,-16.4138961846151,24.944088369076358,255,255,255,255,0
2.894212755895375,-16.413896184615098,24.944088369076358,255,255,255,255,0
8.33355349529404,-14.434138061442466,24.944088369076358,255,255,255,255,0
12.767744693009464,-10.713409862869913,24.944088369076358,255,255,255,255,0
15.66195744890484,-5.700486321745175,24.944088369076358,255,255,255,255,0
21.213203435596427,5.19573633741296e-15,21.213203435596427,255,255,255,255,0
20.42656030816153,5.723253792821014,21.213203435596427,255,255,255,255,0
18.124972647965816,11.022040033972438,21.213203435596427,255,255,255,255,0
14.479138682703082,15.50337198828214,21.213203435596427,255,255,255,255,0
9.759453238996281,18.834889765428546,21.213203435596427,255,255,255,255,0
4.315953795080873,20.76950993256045,21.213203435596427,255,255,255,255,0
-1.4476401976408375,21.16375056218,21.213203435596427,255,255,255,255,0
-7.103869339416767,19.98837263031922,21.213203435596427,255,255,255,255,0
-12.233236990327955,17.33054854118795,21.213203435596427,255,255,255,255,0
-16.45532141700194,13.38739694874091,21.213203435596427,255,255,255,255,0
-19.456989932263344,8.451363367871652,21.213203435596427,255,255,255,255,0
-21.01562251405499,2.888530828422176,21.213203435596427,255,255,255,255,0
-21.01562251405499,-2.888530828422172,21.213203435596427,255,255,255,255,0
-19.45698993226334,-8.451363367871657,21.213203435596427,255,255,255,255,0
-16.455321417001947,-13.387396948740902,21.213203435596427,255,255,255,255,0
-12.233236990327931,-17.33054854118797,21.213203435596427,255,255,255,255,0
-7.103869339416759,-19.988372630319226,21.213203435596427,255,255,255,255,0
-1.4476401976408275,-21.163750562180002,21.213203435596427,255,255,255,255,0
4.3159537950809,-20.76950993256044,21.213203435596427,255,255,255,255,0
9.759453238996272,-18.834889765428553,21.213203435596427,255,255,255,255,0
14.479138682703104,-15.50337198828212,21.213203435596427,255,255,255,255,0
18.12497264796582,-11.022040033972429,21.213203435596427,255,255,255,255,0
20.42656030816153,-5.723253792821003,21.213203435596427,255,255,255,255,0
24.944088369076358,6.1095395957676164e-15,16.667106990588067,255,255,255,255,0
24.27171723881959,5.752502659110925,16.667106990588067,255,255,255,255,0
22.290851549718223,11.19488641088936,16.667106990588067,255,255,255,255,0
19.108280283799687,16.033750938568392,16.667106990588067,255,255,255,255,0
14.895576681787514,20.00823180296746,16.667106990588067,255,255,255,255,0
9.879848685283811,22.904063711930828,16.667106990588067,255,255,255,255,0
4.331495488852973,24.565131617688042,16.667106990588067,255,255,255,255,0
-1.4503697505477229,24.901886919488383,16.667106990588067,255,255,255,255,0
-7.154045181282216,23.896175051845916,16.667106990588067,255,255,255,255,0
-12.472044184538188,21.602214201864065,16.667106990588067,255,255,255,255,0
-17.117672057537394,18.14367239273499,16.667106990588067,255,255,255,255,0
-20.840481799170497,13.707000508599016,16.667106990588067,255,255,255,255,0
-23.439775772652656,8.53138067911965,16.667106990588067,255,255,255,255,0
-24.775425367071303,2.895831908963322,16.667106990588067,255,255,255,255,0
-24.7754253670713,-2.89583190896335,16.667106990588067,255,255,255,255,0
-23.43977577265266,-8.531380679119636,16.667106990588067,255,255,255,255,0
-20.840481799170494,-13.707000508599021,16.667106990588067,255,255,255,255,0
-17.117672057537387,-18.143672392735,16.667106990588067,255,255,255,255,0
-12.472044184538198,-21.60221420186406,16.667106990588067,255,255,255,255,0
-7.154045181282205,-23.89617505184592,16.667106990588067,255,255,255,255,0
-1.4503697505477111,-24.901886919488387,16.667106990588067,255,255,255,255,0
4.331495488852984,-24.56513161768804,16.667106990588067,255,255,255,255,0
9.879848685283838,-22.904063711930803,16.667106990588067,255,255,255,255,0
14.895576681787505,-20.008231802967465,16.667106990588067,255,255,255,255,0
19.10828028379968,-16.033750938568396,16.667106990588067,255,255,255,255,0
